Date;GER3m;USbill3m;SWE3m;SEK_EUR;SEK_USD
Q1 1999;3.0468;4.35;3.225;8.9209;7.708
Q2 1999;2.5781;4.35;2.895;8.8966;8.391
Q3 1999;2.6563;4.58;3.018;8.8251;8.281
Q4 1999;3.4687;5;3.235;8.6614;8.18
Q1 2000;3.3281;5.41;3.636;8.5443;8.534
Q2 2000;3.9844;5.59;3.922;8.182;8.8592
Q3 2000;4.6406;6;4.033;8.4101;8.9256
Q4 2000;5.0938;6.18;3.945;8.5095;10.2654
Q1 2001;4.7813;5.04;4.038;8.8941;9.647
Q2 2001;4.7344;3.74;3.985;9.1271;10.121
Q3 2001;4.4688;3.48;4.28;9.3083;10.6168
Q4 2001;3.5781;2.1;3.646;9.4565;10.5985
Q1 2002;3.3906;1.69;3.796;9.2333;10.6793
Q2 2002;3.3906;1.72;4.275;9.2145;10.2537
Q3 2002;3.3281;1.66;4.198;9.3325;9.4387
Q4 2002;3.25;1.61;4.107;9.1238;9.3366
Q1 2003;2.7813;1.14;3.651;9.224;8.5301
Q2 2003;2.5313;1.12;3.413;9.118;8.27555
Q3 2003;2.0938;0.91;2.6594;9.21375;7.98385
Q4 2003;2.125;0.93;2.729;9.079;7.67875
Q1 2004;2.0625;0.89;2.5693;9.177;7.30565
Q2 2004;2.0469;0.98;2.0179;9.113;7.6874
Q3 2004;2.0938;1.43;1.9921;9.20525;7.57545
Q4 2004;2.125;1.86;2.0146;9.0295;7.0684
Q1 2005;2.125;2.37;1.984;9.07765;6.9446
Q2 2005;2.1094;2.86;1.96;9.1458;7.05775
Q3 2005;2.1094;3.36;1.44;9.4444;7.8556
Q4 2005;2.1875;3.81;1.441;9.5064;7.8705
Q1 2006;2.5;4.34;1.862;9.24975;7.5514
Q2 2006;2.8281;4.67;2.072;9.3155;7.4874
Q3 2006;3.115;4.98;2.248;9.25675;7.3376
Q4 2006;3.535;4.99;2.736;9.236;7.28995
Q1 2007;3.755;5;3.157;9.0895;7.04365
Q2 2007;3.975;4.82;3.333;9.154;6.72815
Q3 2007;4.225;4.78;3.474;9.247;6.74005
Q4 2007;4.56;3.86;3.8;9.1822;6.3825
Q1 2008;4.34;2.25;3.969;9.4656;6.4403
Q2 2008;4.82;1.31;4;9.34755;5.96925
Q3 2008;4.9;1.71;4.231;9.471;6.04385
Q4 2008;4.95;0.86;3.236;10.00905;7.8589
Q1 2009;2.15;0.15;1.072;10.5094;8.00255
Q2 2009;1.44;0.1;0.224;10.77125;8.1283
Q3 2009;0.96;0.18;0.05;10.584;7.45325
Q4 2009;0.8;0.08;0.101;10.19725;6.8248
Q1 2010;0.575;0.07;0.145;10.2521;7.29295
Q2 2010;0.63;0.16;0.242;9.55725;7.17295
Q3 2010;0.635;0.16;0.35;9.47425;7.32395
Q4 2010;0.9;0.14;0.95;9.30625;6.71035
Q1 2011;1.045;0.16;1.45;8.86375;6.47365
Q2 2011;1.36;0.07;1.782;8.9201;6.0988
Q3 2011;1.62;0.07;1.712;9.07775;6.2668
Q4 2011;1.555;0.02;1.31;9.0885;6.57635
Q1 2012;1.14;0.05;1.553;8.8852;6.7532
Q2 2012;0.64;0.09;1.374;8.88275;6.71435
Q3 2012;0.38;0.11;0.92;8.4465;6.86705
Q4 2012;0.19;0.12;1.032;8.66675;6.70205
